,season,team,position,player_id
439,2024,CLE,RB,00-0034367
440,2024,CAR,LB,00-0034368
441,2024,MIA,DL,00-0034371
442,2024,WAS,DL,00-0034373
443,2024,TB,DB,00-0034374
444,2024,ARI,LB,00-0034375
445,2024,BUF,DB,00-0034376
446,2024,PHI,DB,00-0034377
447,2024,PHI,LB,00-0034381
448,2024,HOU,TE,00-0034383
449,2024,NYJ,DB,00-0034384
450,2024,NE,LB,00-0034385
451,2024,KC,WR,00-0034386
452,2024,ARI,DL,00-0034387
453,2024,ATL,DB,00-0034389
454,2024,MIA,DB,00-0034391
455,2024,DET,WR,00-0034395
456,2024,HOU,DL,00-0034397
457,2024,CLE,OL,00-0034399
458,2024,MIA,QB,00-0034401
459,2024,ATL,WR,00-0034407
460,2024,JAX,LB,00-0034413
461,2024,LA,RB,00-0034414
462,2024,CHI,OL,00-0034417
463,2024,NO,WR,00-0034418
464,2024,MIA,WR,00-0034419
465,2024,NYG,LB,00-0034424
466,2024,PHI,OL,00-0034429
467,2024,IND,LB,00-0034431
468,2024,NYJ,RB,00-0034433
469,2024,BUF,OL,00-0034436
470,2024,JAX,P,00-0034437
471,2024,CIN,QB,00-0034438
472,2024,CIN,DB,00-0034446
473,2024,GB,K,00-0034450
474,2024,NYJ,DL,00-0034461
475,2024,WAS,DB,00-0034465
476,2024,ARI,LB,00-0034473
477,2024,CHI,DB,00-0034485
478,2024,MIN,WR,00-0034487
479,2024,TB,DB,00-0034488
480,2024,SF,LB,00-0034490
481,2024,ARI,OL,00-0034495
482,2024,CAR,LB,00-0034500
483,2024,DEN,DB,00-0034514
484,2024,BUF,DB,00-0034515
485,2024,NYJ,WR,00-0034521
486,2024,CLE,DB,00-0034540
487,2024,LV,DB,00-0034545
488,2024,WAS,OL,00-0034571
489,2024,SF,DB,00-0034573
490,2024,TB,TE,00-0034575
491,2024,PIT,QB,00-0034577
492,2024,ATL,DL,00-0034612
493,2024,CIN,TE,00-0034613
494,2024,ARI,DB,00-0034623
495,2024,HOU,DB,00-0034639
496,2024,MIN,WR,00-0034646
497,2024,KC,DL,00-0034657
498,2024,NYG,OL,00-0034668
499,2024,CHI,LB,00-0034673
500,2024,ATL,DB,00-0034675
501,2024,ARI,DL,00-0034677
502,2024,CIN,OL,00-0034678
503,2024,TB,RB,00-0034681
504,2024,IND,DL,00-0034682
505,2024,LV,LB,00-0034720
506,2024,CLE,P,00-0034721
507,2024,CAR,DL,00-0034723
508,2024,GB,DB,00-0034728
509,2024,GB,WR,00-0034732
510,2024,CLE,DL,00-0034746
511,2024,CAR,RB,00-0034750
512,2024,CIN,OL,00-0034752
513,2024,BAL,TE,00-0034753
514,2024,PHI,LB,00-0034754
515,2024,JAX,DB,00-0034756
516,2024,LV,OL,00-0034759
517,2024,NO,DL,00-0034760
518,2024,SF,OL,00-0034763
519,2024,LV,WR,00-0034764
520,2024,DET,WR,00-0034765
521,2024,NE,OL,00-0034768
522,2024,TEN,QB,00-0034771
523,2024,TB,DL,00-0034773
524,2024,JAX,WR,00-0034775
525,2024,LAC,WR,00-0034777
526,2024,DET,DB,00-0034778
527,2024,IND,DB,00-0034779
528,2024,SF,DB,00-0034780
529,2024,MIN,DL,00-0034782
530,2024,BAL,LB,00-0034787
531,2024,PIT,DB,00-0034789
532,2024,LAC,DB,00-0034790
533,2024,CLE,RB,00-0034791
534,2024,LV,DB,00-0034792
535,2024,MIA,K,00-0034794
536,2024,BAL,QB,00-0034796
537,2024,SEA,LB,00-0034797
538,2024,MIA,TE,00-0034798
539,2024,CIN,DL,00-0034800
540,2024,LA,OL,00-0034803
541,2024,CLE,OL,00-0034804
542,2024,DEN,DL,00-0034805
543,2024,CLE,DL,00-0034807
544,2024,CLE,RB,00-0034808
545,2024,TEN,DL,00-0034810
546,2024,SF,LB,00-0034815
547,2024,KC,DL,00-0034818
548,2024,TEN,LB,00-0034825
549,2024,CHI,WR,00-0034827
550,2024,TEN,LB,00-0034828
551,2024,CIN,TE,00-0034829
552,2024,LAC,TE,00-0034830
553,2024,MIA,LB,00-0034832
554,2024,MIA,OL,00-0034833
555,2024,CIN,DL,00-0034834
556,2024,IND,OL,00-0034836
557,2024,TEN,WR,00-0034837
558,2024,DAL,RB,00-0034838
559,2024,IND,DL,00-0034842
560,2024,ATL,DB,00-0034843
561,2024,PHI,RB,00-0034844
562,2024,DEN,OL,00-0034847
563,2024,ATL,WR,00-0034854
564,2024,TB,QB,00-0034855
565,2024,CLE,DB,00-0034856
566,2024,BUF,QB,00-0034857
567,2024,JAX,DB,00-0034858
568,2024,CHI,WR,00-0034860
569,2024,MIN,QB,00-0034869
570,2024,BAL,LB,00-0034874
571,2024,TB,QB,00-0034899
572,2024,NYJ,LB,00-0034902
573,2024,JAX,DB,00-0034903
574,2024,HOU,WR,00-0034928
575,2024,DEN,OL,00-0034929
576,2024,ATL,OL,00-0034937
577,2024,SF,P,00-0034941
578,2024,PHI,OL,00-0034951
579,2024,CHI,QB,00-0034955
580,2024,NE,OL,00-0034957
581,2024,HOU,RB,00-0034959
582,2024,LV,WR,00-0034960
583,2024,HOU,DB,00-0034966
584,2024,GB,LB,00-0034967
585,2024,JAX,DB,00-0034968
586,2024,KC,TE,00-0034970
587,2024,LV,RB,00-0034972
588,2024,LV,DL,00-0034973
589,2024,SEA,DB,00-0034974
590,2024,BAL,RB,00-0034975
591,2024,DAL,DB,00-0034977
592,2024,DEN,OL,00-0034978
593,2024,NO,TE,00-0034981
594,2024,SF,LB,00-0034982
595,2024,IND,LB,00-0034987
596,2024,TB,OL,00-0034989
597,2024,BAL,DB,00-0034990
598,2024,NE,DL,00-0034992
599,2024,LV,DB,00-0034993
600,2024,NO,OL,00-0034994
601,2024,JAX,LB,00-0034999
602,2024,MIA,LB,00-0035000
603,2024,ARI,OL,00-0035003
604,2024,SF,LB,00-0035020
605,2024,IND,WR,00-0035021
606,2024,SF,DL,00-0035026
607,2024,CHI,TE,00-0035039
608,2024,NYG,P,00-0035042
609,2024,IND,WR,00-0035045
610,2024,DEN,OL,00-0035062
611,2024,DET,DL,00-0035063
612,2024,MIA,DL,00-0035073
613,2024,CAR,OL,00-0035084
614,2024,ATL,DB,00-0035098
615,2024,CHI,RB,00-0035099
616,2024,CIN,QB,00-0035100
617,2024,WAS,WR,00-0035101
618,2024,PIT,DB,00-0035108
619,2024,BAL,OL,00-0035112
620,2024,MIA,OL,00-0035117
621,2024,GB,LS,00-0035118
622,2024,MIA,RB,00-0035125
623,2024,LV,OL,00-0035127
624,2024,GB,DB,00-0035133
625,2024,NO,DB,00-0035142
626,2024,ARI,LB,00-0035144
627,2024,NYJ,K,00-0035145
628,2024,WAS,OL,00-0035149
629,2024,HOU,DB,00-0035150
630,2024,DET,P,00-0035156
631,2024,HOU,LB,00-0035166
632,2024,PIT,K,00-0035189
633,2024,LV,P,00-0035190
634,2024,NE,K,00-0035192
635,2024,HOU,LB,00-0035202
636,2024,WAS,WR,00-0035208
637,2024,BAL,WR,00-0035215
638,2024,CAR,WR,00-0035216
639,2024,KC,DL,00-0035219
640,2024,LV,TE,00-0035222
641,2024,DEN,DB,00-0035227
642,2024,ARI,QB,00-0035228
643,2024,MIN,TE,00-0035229
644,2024,BUF,DL,00-0035230
645,2024,LV,DL,00-0035231
646,2024,GB,OL,00-0035233
647,2024,HOU,OL,00-0035234
648,2024,ATL,OL,00-0035235
649,2024,MIN,DB,00-0035236
650,2024,KC,OL,00-0035237
651,2024,CIN,OL,00-0035238
652,2024,ARI,DB,00-0035239
653,2024,NE,LB,00-0035240
654,2024,NO,OL,00-0035242
655,2024,CAR,RB,00-0035243
656,2024,HOU,DB,00-0035244
657,2024,NE,DL,00-0035247
658,2024,DEN,DL,00-0035248
659,2024,MIN,TE,00-0035249
660,2024,NYG,RB,00-0035250
661,2024,PHI,QB,00-0035251
662,2024,NYG,OL,00-0035252
663,2024,PHI,DB,00-0035253
664,2024,TB,LB,00-0035254
665,2024,ARI,OL,00-0035258
666,2024,TEN,RB,00-0035261
667,2024,KC,LB,00-0035262
668,2024,DEN,QB,00-0035264
669,2024,DET,DL,00-0035265
670,2024,NE,OL,00-0035266
671,2024,IND,K,00-0035269
672,2024,JAX,DB,00-0035270
673,2024,MIN,LB,00-0035272
674,2024,MIN,LB,00-0035276
675,2024,SEA,DB,00-0035277
676,2024,CHI,DL,00-0035278
677,2024,KC,DL,00-0035279
678,2024,MIA,P,00-0035280
679,2024,LAC,QB,00-0035282
680,2024,PIT,LB,00-0035286
681,2024,LV,QB,00-0035289
682,2024,CIN,RB,00-0035291
683,2024,MIA,LB,00-0035292
684,2024,PIT,WR,00-0035298
685,2024,ARI,OL,00-0035300
686,2024,DAL,DB,00-0035301
687,2024,CHI,TE,00-0035308
688,2024,MIN,RB,00-0035311
689,2024,ATL,LB,00-0035316
690,2024,NYG,OL,00-0035317
691,2024,DET,DB,00-0035327
692,2024,NYG,OL,00-0035328
693,2024,LAC,TE,00-0035329
694,2024,WAS,LB,00-0035330
695,2024,CIN,WR,00-0035341
696,2024,MIA,DB,00-0035346
697,2024,SEA,LB,00-0035352
698,2024,JAX,OL,00-0035355
699,2024,NYG,TE,00-0035356
700,2024,BUF,DB,00-0035357
701,2024,TB,K,00-0035358
702,2024,DEN,WR,00-0035359
703,2024,NE,LB,00-0035363
704,2024,NYJ,DB,00-0035365
705,2024,JAX,DB,00-0035378
706,2024,CHI,OL,00-0035382
707,2024,PIT,OL,00-0035383
708,2024,TB,OL,00-0035384
709,2024,CHI,LB,00-0035386
710,2024,NO,WR,00-0035399
711,2024,JAX,OL,00-0035400
712,2024,NO,DL,00-0035402
713,2024,DEN,WR,00-0035406
714,2024,BAL,LS,00-0035408
715,2024,CAR,DL,00-0035409
716,2024,TEN,LB,00-0035413
717,2024,LV,WR,00-0035414
718,2024,DAL,WR,00-0035457
719,2024,DAL,WR,00-0035457
720,2024,ATL,DB,00-0035470
721,2024,NYJ,WR,00-0035480
722,2024,BUF,DB,00-0035499
723,2024,ARI,WR,00-0035500
724,2024,ARI,WR,00-0035510
725,2024,MIA,DL,00-0035519
726,2024,CLE,LB,00-0035525
727,2024,GB,OL,00-0035526
